,Place,Lat,Lng,Median Age
0,Anchorage-Alaska,61.1088644,-149.4403109,34.0
1,Badger-Alaska,64.8058059,-147.4102667,32.0
2,Bethel-Alaska,60.7907944,-161.7937281,30.0
3,College-Alaska,64.8667424,-147.8243113,29.4
4,Fairbanks-Alaska,64.8283644,-147.6690026,27.7
5,Juneau-Alaska,58.3850234,-134.197786,38.5
6,Kalifornsky-Alaska,60.448213,-151.1967549,33.7
7,Kenai-Alaska,60.5599189,-151.212397,38.0
8,Ketchikan-Alaska,55.3453249,-131.6611367,39.1
9,Knik-Fairview-Alaska,61.495646,-149.5823528,33.9
10,Kodiak-Alaska,57.790464,-152.403974,37.0
11,Lakes-Alaska,61.6070839,-149.3067515,36.8
12,Meadow-Lakes-Alaska,61.635938,-149.5825175,33.5
13,Palmer-Alaska,61.6012258,-149.1179858,30.7
14,Sitka-Alaska,57.073204,-135.44551,40.1
15,Steele-Creek-Alaska,64.9086086,-147.3994946,37.4
16,Tanaina-Alaska,61.663854,-149.4311134,30.7
17,Wasilla-Alaska,61.5796094,-149.4587701,34.3
18,Abernant-Alabama,33.290392,-87.198053,34.3
19,Alabaster-Alabama,33.2194855,-86.8129544,37.8
20,Albertville-Alabama,34.266641,-86.2102174,31.5
21,Alexander-City-Alabama,32.9209859,-85.9385925,39.6
22,Andalusia-Alabama,31.3127424,-86.4763734,41.3
23,Anniston-Alabama,33.6754415,-85.8433014,43.3
24,Arab-Alabama,34.3267575,-86.5060659,39.9
25,Athens-Alabama,34.7633479,-86.977069,40.5
26,Atmore-Alabama,31.0584194,-87.4931685,39.9
27,Auburn-Alabama,32.6279029,-85.4885315,24.7
28,Bay-Minette-Alabama,30.875926,-87.7752505,32.7
29,Beauregard-Marvyn-Alabama,32.4386665,-85.363838,34.6
30,Bessemer-Alabama,33.3750295,-86.963689,40.5
31,Beulah-Alabama,32.7112434,-85.1821624,33.7
32,Birmingham-Alabama,33.5312374,-86.850137,35.8
33,Boaz-Alabama,34.1988289,-86.1498694,36.1
34,Bremen-Alabama,33.9944012,-86.9677448,37.3
35,Brook-Highland-Alabama,33.4349449,-86.6882145,33.5
36,Calera-Alabama,33.122555,-86.7334145,33.9
37,Center-Point-Alabama,33.646063,-86.683309,33.3
38,Chelsea-Alabama,33.326081,-86.6354959,34.8
39,Clanton-Alabama,32.8433324,-86.6213619,39.5
40,Clay-Alabama,33.699569,-86.6037035,44.0
41,Cloverdale-Alabama,34.9386959,-87.7714177,35.9
42,Craig-Tyler-Alabama,33.4178239,-86.6782954,28.0
43,Cullman-Alabama,34.1752014,-86.8386395,39.7
44,Danville-Alabama,34.4145403,-87.087512,35.0
45,Daphne-Alabama,30.6228999,-87.8823559,37.8
46,Decatur-Alabama,34.579279,-87.0001375,39.4
47,Demopolis-Alabama,32.4993855,-87.8284115,38.8
48,Dothan-Alabama,31.228896,-85.4065854,37.3
49,Enterprise-Alabama,31.3238535,-85.8338605,37.5
50,Eufaula-Alabama,31.90525,-85.1643454,36.8
51,Fairfield-Alabama,33.4755488,-86.9229171,36.8
