,collectionDate,InBedsOccAnyPat__Numbeds_Est
0,Day for which estimate is made,"Hospital inpatient bed occupancy, percent estimate (percent of inpatient beds)"
1,01APR2020,54.3
2,02APR2020,54.2
3,03APR2020,52.9
4,04APR2020,51.5
5,05APR2020,51.2
6,06APR2020,52.3
7,07APR2020,53.9
8,08APR2020,54.4
9,09APR2020,54.7
10,10APR2020,54.0
11,11APR2020,52.3
12,12APR2020,51.9
13,13APR2020,52.2
14,14APR2020,53.7
15,15APR2020,53.6
16,16APR2020,53.5
17,17APR2020,53.3
18,18APR2020,52.1
19,19APR2020,51.9
20,20APR2020,53.3
21,21APR2020,55.1
22,22APR2020,55.4
23,23APR2020,55.6
24,24APR2020,55.2
25,25APR2020,54.1
26,26APR2020,53.7
27,27APR2020,55.3
28,28APR2020,56.6
29,29APR2020,57.1
30,30APR2020,56.3
31,01MAY2020,56.2
32,02MAY2020,54.4
33,03MAY2020,53.8
34,04MAY2020,55.2
35,05MAY2020,57.4
36,06MAY2020,58.1
37,07MAY2020,57.7
38,08MAY2020,57.6
39,09MAY2020,55.9
40,10MAY2020,54.6
41,11MAY2020,55.7
42,12MAY2020,58.3
43,13MAY2020,59.3
44,14MAY2020,59.7
45,15MAY2020,59.2
46,16MAY2020,57.6
47,17MAY2020,56.5
48,18MAY2020,57.9
49,19MAY2020,60.6
50,20MAY2020,61.9
51,21MAY2020,61.4
52,22MAY2020,61.0
53,23MAY2020,58.9
54,24MAY2020,57.0
55,25MAY2020,56.9
56,26MAY2020,58.4
57,27MAY2020,61.7
58,28MAY2020,62.3
59,29MAY2020,62.2
60,30MAY2020,60.1
61,31MAY2020,58.4
62,01JUN2020,59.2
63,02JUN2020,61.7
64,03JUN2020,62.9
65,04JUN2020,62.8
66,05JUN2020,62.0
67,06JUN2020,60.2
68,07JUN2020,58.4
69,08JUN2020,59.8
70,09JUN2020,63.4
71,10JUN2020,64.5
72,11JUN2020,64.3
73,12JUN2020,63.7
74,13JUN2020,60.9
75,14JUN2020,59.2
76,15JUN2020,60.3
77,16JUN2020,63.5
78,17JUN2020,64.3
79,18JUN2020,64.4
80,19JUN2020,64.1
81,20JUN2020,61.7
82,21JUN2020,59.1
83,22JUN2020,61.4
84,23JUN2020,65.6
85,24JUN2020,66.7
86,25JUN2020,66.6
87,26JUN2020,65.4
88,27JUN2020,62.3
89,28JUN2020,60.3
90,29JUN2020,62.4
91,30JUN2020,65.5
92,01JUL2020,66.7
93,02JUL2020,66.1
94,03JUL2020,63.2
95,04JUL2020,59.8
96,05JUL2020,59.3
97,06JUL2020,61.4
98,07JUL2020,65.2
99,01APR2020,57.6
100,02APR2020,56.7
101,03APR2020,55.2
102,04APR2020,49.0
103,05APR2020,48.5
104,06APR2020,47.5
105,07APR2020,44.5
106,08APR2020,47.6
107,09APR2020,52.5
108,10APR2020,53.5
109,11APR2020,56.0
110,12APR2020,52.9
111,13APR2020,51.2
112,14APR2020,45.9
113,15APR2020,39.5
114,16APR2020,39.0
115,17APR2020,37.7
116,18APR2020,36.0
117,19APR2020,35.7
118,20APR2020,36.9
119,21APR2020,35.1
120,22APR2020,38.4
121,23APR2020,35.7
122,24APR2020,35.9
123,25APR2020,34.3
124,26APR2020,38.7
125,27APR2020,42.1
126,28APR2020,44.6
127,29APR2020,40.8
128,30APR2020,33.5
129,01MAY2020,43.4
130,02MAY2020,45.3
131,03MAY2020,36.2
132,04MAY2020,37.5
133,05MAY2020,39.7
134,06MAY2020,43.1
135,07MAY2020,46.4
136,08MAY2020,44.7
137,09MAY2020,53.5
138,10MAY2020,54.9
139,11MAY2020,55.6
140,12MAY2020,56.6
141,13MAY2020,57.5
142,14MAY2020,59.9
143,15MAY2020,57.1
144,16MAY2020,56.8
145,17MAY2020,57.2
146,18MAY2020,53.1
147,19MAY2020,56.4
148,20MAY2020,59.8
149,21MAY2020,68.2
150,22MAY2020,65.3
151,23MAY2020,64.1
152,24MAY2020,62.1
153,25MAY2020,55.6
154,26MAY2020,57.5
155,27MAY2020,62.8
156,28MAY2020,51.7
157,29MAY2020,58.2
158,30MAY2020,53.7
159,31MAY2020,53.4
160,01JUN2020,44.6
161,02JUN2020,55.0
162,03JUN2020,37.6
163,04JUN2020,57.5
164,05JUN2020,55.7
165,06JUN2020,60.5
166,07JUN2020,60.0
167,08JUN2020,55.8
168,09JUN2020,61.3
169,10JUN2020,61.0
170,11JUN2020,64.3
171,12JUN2020,62.1
172,13JUN2020,57.7
173,14JUN2020,57.2
174,15JUN2020,57.3
175,16JUN2020,59.5
176,17JUN2020,60.3
177,18JUN2020,60.0
178,19JUN2020,59.9
179,20JUN2020,61.4
180,21JUN2020,56.7
181,22JUN2020,55.7
182,23JUN2020,26.2
183,24JUN2020,53.1
184,25JUN2020,52.5
185,26JUN2020,52.9
186,27JUN2020,55.2
187,28JUN2020,53.3
188,29JUN2020,49.9
189,30JUN2020,54.8
190,01JUL2020,63.7
191,02JUL2020,66.5
192,03JUL2020,62.2
193,04JUL2020,60.3
194,05JUL2020,62.4
195,06JUL2020,60.0
196,07JUL2020,63.3
197,15APR2020,55.4
198,16APR2020,57.5
199,17APR2020,57.0
200,18APR2020,55.3
201,19APR2020,55.8
202,20APR2020,56.3
203,21APR2020,60.0
204,22APR2020,60.9
205,23APR2020,61.1
206,24APR2020,61.2
207,25APR2020,60.2
208,26APR2020,57.7
209,27APR2020,58.0
210,28APR2020,58.7
211,29APR2020,60.7
212,30APR2020,61.1
213,01MAY2020,60.8
214,02MAY2020,58.3
215,03MAY2020,59.3
216,04MAY2020,60.5
217,05MAY2020,64.0
218,06MAY2020,65.5
219,07MAY2020,65.8
220,08MAY2020,64.9
221,09MAY2020,58.6
222,10MAY2020,59.7
223,11MAY2020,61.9
224,12MAY2020,64.5
225,13MAY2020,66.4
226,14MAY2020,66.0
227,15MAY2020,65.3
228,16MAY2020,62.3
229,17MAY2020,60.3
230,18MAY2020,62.7
231,19MAY2020,65.3
232,20MAY2020,67.4
233,21MAY2020,69.3
234,22MAY2020,67.7
235,23MAY2020,63.5
236,24MAY2020,63.2
237,25MAY2020,63.8
238,26MAY2020,65.4
239,27MAY2020,69.7
240,28MAY2020,70.0
241,29MAY2020,69.5
242,30MAY2020,66.6
243,31MAY2020,63.6
244,01JUN2020,64.1
245,02JUN2020,67.6
246,03JUN2020,70.3
247,04JUN2020,72.0
248,05JUN2020,69.3
249,06JUN2020,67.2
250,07JUN2020,66.8
251,08JUN2020,67.8
252,09JUN2020,71.4
253,10JUN2020,73.7
254,11JUN2020,75.5
255,12JUN2020,73.0
256,13JUN2020,69.0
257,14JUN2020,66.9
258,15JUN2020,68.1
259,16JUN2020,72.6
260,17JUN2020,72.5
261,18JUN2020,71.6
262,19JUN2020,71.4
263,20JUN2020,67.5
264,21JUN2020,65.7
265,22JUN2020,69.0
266,23JUN2020,72.9
267,24JUN2020,74.3
268,25JUN2020,74.8
269,26JUN2020,73.8
270,27JUN2020,72.0
271,28JUN2020,70.0
272,29JUN2020,70.5
273,30JUN2020,75.5
274,01JUL2020,76.0
275,02JUL2020,74.4
276,03JUL2020,71.0
277,04JUL2020,66.0
278,05JUL2020,66.1
279,06JUL2020,69.0
280,07JUL2020,73.9
281,01APR2020,48.9
282,02APR2020,48.1
283,03APR2020,46.6
284,04APR2020,44.2
285,05APR2020,43.9
286,06APR2020,44.3
287,07APR2020,46.6
288,08APR2020,46.6
289,09APR2020,47.6
290,10APR2020,44.0
291,11APR2020,43.5
292,12APR2020,42.7
293,13APR2020,44.0
294,14APR2020,46.4
295,15APR2020,46.9
296,16APR2020,46.8
297,17APR2020,46.6
298,18APR2020,45.6
299,19APR2020,45.1
300,20APR2020,44.7
301,21APR2020,46.5
302,22APR2020,47.3
303,23APR2020,47.5
304,24APR2020,45.9
305,25APR2020,45.2
306,26APR2020,45.1
307,27APR2020,46.4
308,28APR2020,48.7
309,29APR2020,48.7
310,30APR2020,49.9
311,01MAY2020,49.2
312,02MAY2020,46.9
313,03MAY2020,47.0
314,04MAY2020,48.7
315,05MAY2020,50.5
316,06MAY2020,50.8
317,07MAY2020,52.2
318,08MAY2020,51.5
319,09MAY2020,49.3
320,10MAY2020,49.5
321,11MAY2020,48.7
322,12MAY2020,50.9
323,13MAY2020,53.7
324,14MAY2020,52.9
325,15MAY2020,53.7
326,16MAY2020,50.9
327,17MAY2020,50.0
328,18MAY2020,51.6
329,19MAY2020,53.5
330,20MAY2020,55.0
331,21MAY2020,57.3
332,22MAY2020,55.9
333,23MAY2020,52.1
334,24MAY2020,50.5
335,25MAY2020,51.1
336,26MAY2020,52.5
337,27MAY2020,56.9
338,28MAY2020,55.3
339,29MAY2020,56.6
340,30MAY2020,52.3
341,31MAY2020,50.7
342,01JUN2020,52.2
343,02JUN2020,53.4
344,03JUN2020,66.2
345,04JUN2020,57.0
346,05JUN2020,57.8
347,06JUN2020,54.1
348,07JUN2020,52.3
349,08JUN2020,54.0
350,09JUN2020,57.9
351,10JUN2020,67.8
352,11JUN2020,57.3
353,12JUN2020,56.4
354,13JUN2020,54.2
355,14JUN2020,52.2
356,15JUN2020,60.9
357,16JUN2020,63.0
358,17JUN2020,61.6
359,18JUN2020,55.2
360,19JUN2020,53.7
361,20JUN2020,50.6
362,21JUN2020,50.7
363,22JUN2020,53.1
364,23JUN2020,62.4
365,24JUN2020,68.2
366,25JUN2020,57.5
367,26JUN2020,55.4
368,27JUN2020,53.3
369,28JUN2020,55.9
370,29JUN2020,55.0
371,30JUN2020,57.9
372,01JUL2020,58.3
373,02JUL2020,58.2
374,03JUL2020,55.4
375,04JUL2020,53.3
376,05JUL2020,53.1
377,06JUL2020,54.2
378,07JUL2020,59.0
379,15APR2020,63.7
380,16APR2020,63.3
381,17APR2020,63.1
382,18APR2020,61.6
383,19APR2020,60.7
384,20APR2020,59.8
385,21APR2020,61.7
386,22APR2020,61.3
387,23APR2020,59.5
388,24APR2020,56.3
389,25APR2020,50.5
390,26APR2020,44.1
391,27APR2020,62.4
392,28APR2020,62.7
393,29APR2020,63.1
394,30APR2020,60.7
395,01MAY2020,58.8
396,02MAY2020,52.7
397,03MAY2020,59.5
398,04MAY2020,59.0
399,05MAY2020,59.7
400,06MAY2020,57.2
401,07MAY2020,50.9
402,08MAY2020,63.4
403,09MAY2020,58.2
404,10MAY2020,52.7
405,11MAY2020,48.0
406,12MAY2020,57.5
407,13MAY2020,51.9
408,14MAY2020,65.2
409,15MAY2020,65.4
410,16MAY2020,64.4
411,17MAY2020,63.5
