Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of Mentions,Flag
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,175.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,853.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,2174.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,6220.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,15295.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,25749.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,30258.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,30239.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,3.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,110966.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,36.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,88.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,203.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,594.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,2334.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,5577.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,7551.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,6749.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,23133.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,86.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,328.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,895.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2527.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,5582.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,8367.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,7667.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,5659.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,31113.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,153.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,613.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1582.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,4726.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,11840.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,21324.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,25811.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,85+,24738.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,2.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory failure,J96,All Ages,90789.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,10.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,38.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,88.0,
