state,date,inpatient_beds_utilization
AK,2020-12-13,0.576
AL,2020-12-13,0.751389256417042
AR,2020-12-13,0.725287727223836
AZ,2020-12-13,0.766584619079066
CA,2020-12-13,0.76414564999114
CO,2020-12-13,0.672796610169491
CT,2020-12-13,0.763716414540528
DC,2020-12-13,0.8
DE,2020-12-13,0.726634086744044
FL,2020-12-13,0.755251267547339
GA,2020-12-13,0.792722083481984
HI,2020-12-13,0.685444234404537
IA,2020-12-13,0.568622811168954
ID,2020-12-13,0.585456475583864
IL,2020-12-13,0.685980825720649
IN,2020-12-13,0.692567924727773
KS,2020-12-13,0.612341238619759
KY,2020-12-13,0.609335576114382
LA,2020-12-13,0.661077163564019
MA,2020-12-13,0.785034084404434
MD,2020-12-13,0.798209994199055
ME,2020-12-13,0.669186573934079
MI,2020-12-13,0.762903635901348
MN,2020-12-13,0.729677543927399
MO,2020-12-13,0.775598003785923
MS,2020-12-13,0.640640981929765
MT,2020-12-13,0.679039301310044
NC,2020-12-13,0.757761912668106
ND,2020-12-13,0.635833657209483
NE,2020-12-13,0.631413224671235
NH,2020-12-13,0.70195700994546
NJ,2020-12-13,0.742004999569003
NM,2020-12-13,0.696921684019918
NV,2020-12-13,0.797227036395147
NY,2020-12-13,0.722654268808115
OH,2020-12-13,0.670361830436325
OK,2020-12-13,0.706440615498019
OR,2020-12-13,0.742939133061471
PA,2020-12-13,0.761492859067637
PR,2020-12-13,0.571735857173586
RI,2020-12-13,0.851593190746399
SC,2020-12-13,0.78516893374287
SD,2020-12-13,0.60778859527121
TN,2020-12-13,0.695112027342267
TX,2020-12-13,0.747579336206414
UT,2020-12-13,0.583078655299984
VA,2020-12-13,0.6875458259139
VI,2020-12-13,0.523809523809524
VT,2020-12-13,0.583079268292683
WA,2020-12-13,0.680307272596741
WI,2020-12-13,0.643764057171878
WV,2020-12-13,0.729807692307692
WY,2020-12-13,0.495083863504916
AK,2020-12-12,0.588307692307692
AL,2020-12-12,0.758440232305827
AR,2020-12-12,0.717045942464577
AZ,2020-12-12,0.775256747074277
CA,2020-12-12,0.765598875490123
CO,2020-12-12,0.68168321031645
CT,2020-12-12,0.763716414540528
